preco;endereco;metragem;quartos;vagas;banheiros;"
condomínio";"
IPTU";data
"
R$10.500.000
";Avenida Sabiá, Moema;"
367m²";"
4";"
5";"
5";6.500;3.522;2021-07-20
"
R$172.800
";Rua Américo Brasiliense, Chácara Santo Antônio;"
28m²";"
1";"
1";"
1";;;2021-07-20
"
R$250.000
";Rua Ricardo Zacharias, Parque América;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$280.000
";Rua Manoel Capoto, Vila das Belezas;"
148m²";"
3";"
2";"
2";;;2021-07-20
"
R$240.000
";Rua Regresso Feliz, Cohab Inacio Monteiro;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$220.000
";Rua Manuel Vaz, Jardim Consórcio;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$230.000
";Rua Guaruva, Cidade Dutra;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$315.000
";Rua José Manuel da Fonseca Júnior, Vila Matilde;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$280.000
";Rua Antônia Soveral, Chácara Santo Antônio Zona Leste;"
148m²";"
3";"
2";"
2";;;2021-07-20
"
R$235.000
";Rua Gonçalves de Andrade, Vila Perus;"
147m²";"
3";"
2";"
2";;;2021-07-20
"
R$180.000
";Rua Nunes Balboa, Vila Carrão;"
267m²";"
3";"
3";"
3";;;2021-07-20
"
R$260.000
";Rua Camilo, Vila Romana;"
140m²";"
3";"
2";"
2";;;2021-07-20
"
R$60.000
";Rua Galeazzo Alessi, Vila Monte Alegre;"
160m²";"
3";"
2";"
3";;;2021-07-20
"
R$176.000
";Rua Erexim, Cidade Patriarca;"
233m²";"
3";"
3";"
3";;;2021-07-20
"
R$380.000
";Rua Inocêncio Correia, Jardim Triana;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$330.000
";Rua Municipal, Vila Ré;"
165m²";"
3";"
3";"
2";;;2021-07-20
"
R$375.000
";Rua Lauro Freire, Jardim Celeste;"
150m²";"
3";"
2";"
2";;;2021-07-20
"
R$325.000
";Rua Aimberê, Perdizes;"
140m²";"
3";"
2";"
2";;;2021-07-20
"
R$270.000
";Rua Mário Amaral, Paraíso;"
155m²";"
3";"
2";"
2";;;2021-07-20
"
R$280.000
";Rua Leme da Silva, Alto da Mooca;"
142m²";"
3";"
3";"
3";;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$573.900
";Rua Dona Prisciliana Soares, Cambuí;"
48-153m²";"
1-2";"
1-2";"
1-2";;;2021-07-20
"
Sobconsulta
";Rua Severo Penteado, Cambuí;"
213-371m²";"
4";"
3-4";"
3";;;2021-07-20
"
R$2.675.822
";Rua Severo Penteado, Cambuí;"
213-298m²";"
3";"
3-4";"
1";;;2021-07-20
"
R$888.537
";Avenida Paulo Silva Araújo, Jardim São Paulo;"
66m²";"
2";"
2";"
1";;;2021-07-20
"
R$2.000.000
";Alameda Jaú, Jardins;"
239m²";"
3";"
2";"
3";3.428;874;2021-07-20
"
R$1.980.000
";Jardins, São Paulo;"
154m²";"
3";"
1";"
4";1.960;400;2021-07-20
"
R$290.000
";Rua Nicola Florentino, Capão Redondo;"
125m²";"
30";"
2";"
2";;;2021-07-20
"
R$169.000
";Rua Correia de Almeida, Jabaquara;"
265m²";"
3";"
3";"
3";;;2021-07-20
"
R$450.000
";Rua Ezequiel Ramos, Móoca;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$280.000
";Rua Pitágoras, Jardim Coimbra;"
141m²";"
3";"
3";"
3";;;2021-07-20
"
R$45.000
";Rua Jaguaré, Jaguaré;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$290.000
";Rua Moisés Justino, Vila Nhocune;"
141m²";"
3";"
3";"
3";;;2021-07-20
"
R$385.000
";Rua Dias Leme, Móoca;"
160m²";"
4";"
3";"
2";;;2021-07-20
"
R$420.000
";Rua Pedro Madureira, Jardim São Paulo;"
140m²";"
3";"
2";"
2";;;2021-07-20
"
R$182.000
";Rua Lavinio Salles Arcuri, Casa Verde;"
255m²";"
3";"
3";"
3";;;2021-07-20
"
R$187.000
";Rua Ágata, Aclimação;"
268m²";"
3";"
3";"
3";;;2021-07-20
"
R$39.000
";Rua Antônio Macuco Alves, Jardim Sarah;"
145m²";"
3";"
2";"
2";;;2021-07-20
"
R$169.000
";Rua Santaluz, Conjunto Residencial Jardim Canaã;"
239m²";"
3";"
3";"
3";;;2021-07-20
"
R$335.000
";Rua Caiacanga, Mirandópolis;"
155m²";"
3";"
2";"
2";;;2021-07-20
"
R$250.000
";Rua Arinaia, Belenzinho;"
148m²";"
3";"
3";"
3";;;2021-07-20
"
R$240.000
";Rua Luís Orsini de Castro, Jardim Oriental;"
147m²";"
3";"
2";"
3";;;2021-07-20
"
R$480.000
";Rua São Serafim, Penha De Franca;"
230m²";"
3";"
3";"
3";;;2021-07-20
"
R$167.000
";Rua Porto Martins, Brooklin;"
233m²";"
3";"
3";"
3";;;2021-07-20
"
R$158.000
";Rua Luiz Prieto Roque, Interlagos;"
245m²";"
3";"
3";"
3";;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Rua Doutor Emílio Ribas, Cambuí;"
157m²";"
4";"
3-4";;;;2021-07-20
"
Sobconsulta
";Rua Barreto Leme, Cambuí;"
256-392m²";"
3-4";"
4-6";"
4-5";;;2021-07-20
"
Sobconsulta
";Rua Barreto Leme, Centro;"
256m²";"
4";"
4-6";"
1";;;2021-07-20
"
R$378.000
";Rua Vergueiro, Vila Mariana;"
35m²";"
1";"
1";"
1";1.350;289;2021-07-20
"
R$1.800.000
";Rua da União, Vila Mariana;"
400m²";"
4";"
3";"
5";;;2021-07-20
"
R$152.771
";Rua Victório Santim, Vila Carmosina;"
32m²";"
2";;"
1";;;2021-07-20
"
R$355.000
";Avenida Brasílio Pereira de Melo, Vila Dalila;"
138m²";"
2";"
2";"
2";150;;2021-07-20
"
R$530.000
";Bosque da Saúde, São Paulo;"
67m²";"
2";"
2";"
2";466;;2021-07-20
"
R$590.000
";Praça da Árvore, São Paulo;"
65m²";"
2";"
1";"
2";500;135;2021-07-20
"
R$340.000
";Parque Mandaqui, São Paulo;"
65m²";"
3";"
1";"
2";684;106;2021-07-20
"
R$520.000
";Chora Menino, São Paulo;"
120m²";"
3";"
2";"
3";200;;2021-07-20
"
R$404.000
";Rua Eduardo Leopoldo, Vila Guilherme;"
65m²";"
2";"
1";"
2";430;;2021-07-20
"
R$650.000
";Freguesia do Ó, São Paulo;"
90m²";"
3";"
1";"
3";815;;2021-07-20
"
R$510.000
";Saúde, São Paulo;"
73m²";"
3";"
2";"
2";620;120;2021-07-20
"
R$319.148
";Rua São João, Jardim Elizabeth;"
100m²";"
5";"
2";"
4";;;2021-07-20
"
R$410.000
";Rua André Vidal, Tatuapé;"
56m²";"
2";"
1";"
2";460;;2021-07-20
"
R$350.000
";Avenida Lasar Segall, Imirim;"
71m²";"
2";"
1";"
2";460;80;2021-07-20
"
R$534.000
";Rua Brigadeiro Galvão, Barra Funda;"
62m²";"
2";"
1";"
2";;;2021-07-20
"
R$583.000
";Avenida Zelina, Vila Prudente;"
70m²";"
3";"
1";"
2";651;5;2021-07-20
"
R$569.000
";Rua Jaguarete, Casa Verde;"
53m²";"
2";"
1";"
2";500;;2021-07-20
"
R$400.000
";São Miguel Paulista, São Paulo;"
100m²";"
3";"
2";"
3";;;2021-07-20
"
R$530.000
";Jardim Peri, São Paulo;"
132m²";"
3";"
3";"
3";;50;2021-07-20
