preco;endereco;metragem;quartos;vagas;banheiros;"
condomínio";"
IPTU";data
"
R$659.000
";Vila Mariana, São Paulo;"
81m²";"
3";"
2";"
2";800;1.600;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$245.500
";Rua Brigadeiro Godinho dos Santos, Vila Pirituba;"
44m²";"
2";"
1-2";"
2";;;2021-07-20
"
R$99.200
";Estrada Municipal Vereador Luiz Carlos Azorli, Jardim Residencial Indaia III;"
160-342m²";;;;;;2021-07-20
"
R$201.900
";Avenida Edmundo Amaral, Piratininga;"
45-46m²";"
2";"
1";"
1";;;2021-07-20
"
R$405.742
";Rua Professor José Maria Calazans Nogueira, Parque São Domingos;"
59m²";"
2";"
1";"
2";;;2021-07-20
"
R$1.300.000
";Rua Leopoldo de Bulhões, Ibirapuera;"
72m²";"
2";"
1";"
1";1.100;380;2021-07-20
"
R$13.000.000
";Rua Oagy Kalile, Panamby;"
921m²";"
4";"
6";"
8";;;2021-07-20
"
R$180.000
";Rua Professora Eunice Bechara de Oliveira, Vila Fazzeoni;"
48m²";"
2";"
1";"
1";;;2021-07-20
"
R$540.000
";Rua Francisco Justino de Azevedo, Aclimação;"
68m²";"
2";"
1";"
2";700;95;2021-07-20
"
R$531.000
";Avenida Cupecê, Jardim Prudência;"
64m²";"
2";"
1";"
2";475;24;2021-07-20
"
R$659.000
";Rua Almirante Marques de Leão, Bela Vista;"
70m²";"
2";"
1";"
2";707;45;2021-07-20
"
R$403.000
";Alameda dos Maracatins, Indianópolis;"
31m²";"
1";;"
1";;;2021-07-20
"
R$1.475.000
";Rua Isabel de Castela, Vila Madalena;"
80m²";"
2";"
2";"
2";;;2021-07-20
"
R$182.519
";Rua do Bosque, Barra Funda;"
42m²";"
2";;"
1";250;40;2021-07-20
"
R$349.000
";Rua José Soriano de Sousa, Casa Verde;"
57m²";"
2";"
2";"
2";580;;2021-07-20
"
R$449.000
";Chácara Inglesa, São Paulo;"
70m²";"
3";;"
2";1.000;200;2021-07-20
"
R$418.000
";Rua Pascoais, Jardim Santa Cruz;"
70m²";"
3";"
2";"
2";;;2021-07-20
"
R$360.000
";Freguesia do Ó, São Paulo;"
70m²";"
3";"
1";"
2";;;2021-07-20
"
R$350.000
";Vila Matilde, São Paulo;"
50m²";"
2";"
1";"
1";728;;2021-07-20
"
R$606.000
";Rua João Teixeira da Silva, Jardim Anália Franco;"
76m²";"
3";"
2";"
2";600;220;2021-07-20
"
R$695.000
";Avenida Vila Ema, Vila Prudente;"
86m²";"
3";"
2";"
2";560;97;2021-07-20
"
R$275.000
";Rua Doutor Domingos Guedes Cabral, Mandaqui;"
62m²";"
2";"
1";"
1";500;;2021-07-20
"
R$629.000
";Freguesia do Ó, São Paulo;"
84m²";"
3";"
2";"
2";645;;2021-07-20
"
R$480.000
";Vila Gumercindo, São Paulo;"
70m²";"
3";"
1";"
1";590;85;2021-07-20
"
R$495.000
";Rua Bernadelle, Vila Talarico;"
113m²";"
3";"
2";"
2";150;1;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Alameda Reino Unido, Boa Vista;"
52-66m²";"
2-3";"
1";"
1";;;2021-07-20
"
R$246.000
";Avenida Três de Março, Boa Vista;"
63m²";"
2";"
1";"
2";;;2021-07-20
"
R$498.200
";Rua Vinte e Oito de Outubro, Boa Vista;"
98m²";"
3";"
2";"
2";;;2021-07-20
"
R$530.000
";Rua Maria José Monteiro Romano, Jardim Rizzo;"
90m²";"
2";"
2";"
1";;;2021-07-20
"
R$265.000
";Rua Quintana, Brooklin;"
35m²";"
1";"
1";"
1";1.300;365;2021-07-20
"
R$410.000
";Jardim São Paulo, São Paulo;"
50m²";"
2";"
1";"
1";400;;2021-07-20
"
R$250.000
";Rua Cortegaca, Jardim Guaruja;"
90m²";"
2";"
1";"
1";400;2;2021-07-20
"
R$477.000
";Ipiranga, São Paulo;"
50m²";"
2";"
1";"
2";700;;2021-07-20
"
R$800.000
";Avenida Moaci, Planalto Paulista;"
84m²";"
2";"
1";"
2";1.215;240;2021-07-20
"
R$999.000
";Rua Camburiú, Lapa;"
100m²";"
3";"
1";"
2";;;2021-07-20
"
R$1.116.000
";Rua Campevas, Perdizes;"
86m²";"
2";"
1";"
3";850;450;2021-07-20
"
R$530.000
";Vila Andrade, São Paulo;"
81m²";"
2";"
1";"
1";700;600;2021-07-20
"
R$750.000
";Pirituba, São Paulo;"
140m²";"
3";"
3";"
4";;105;2021-07-20
"
R$273.000
";Avenida das Belezas, Vila Plana;"
44m²";"
2";;"
1";;;2021-07-20
"
R$255.000
";Rua Londres, Penha;"
52m²";"
2";"
1";"
2";600;54;2021-07-20
"
R$225.000
";Rua Acaraú, Consolação;"
52m²";"
1";;"
1";490;;2021-07-20
"
R$460.000
";Estrada de Itapecerica, Vila das Belezas;"
68m²";"
2";"
1";"
2";400;93;2021-07-20
"
R$383.000
";Parque Mandaqui, São Paulo;"
92m²";"
3";"
3";"
2";200;160;2021-07-20
"
R$300.000
";Rua Tanque Velho, Tucuruvi;"
58m²";"
2";"
1";"
2";;;2021-07-20
"
R$330.000
";Rua Curuena, Vila Formosa;"
65m²";"
3";"
1";"
2";486;;2021-07-20
"
R$991.000
";Vila Mariana, São Paulo;"
67m²";"
2";"
2";"
2";696;298;2021-07-20
"
R$494.829
";Vila Albertina, São Paulo;"
61m²";"
2";"
2";"
2";250;100;2021-07-20
"
R$359.990
";Vila Ré, São Paulo;"
80m²";"
2";"
2";"
2";;;2021-07-20
"
R$525.000
";Rua Tuiuti, Tatuapé;"
75m²";"
3";"
1";"
2";700;80;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$197.000
";Avenida Doutor Felipe Pinel, Pirituba;"
35-36m²";"
2";;"
1";;;2021-07-20
"
R$169.500
";Avenida Tomás Rabelo e Silva, Freguesia do Ó;"
27-68m²";"
1-2";"
1-2";"
1-2";;;2021-07-20
"
R$412.200
";Avenida Antônio Bardella, Boa Vista;"
71-91m²";"
2-3";"
2-3";"
2";;;2021-07-20
"
R$850.000
";Rua Elizabeth Barbegian Baldinato, Morumbi;"
130m²";"
3";"
4";"
2";1.569;482;2021-07-20
"
R$3.900.000
";Avenida Comendador Adibo Ares, Jardim Guedala;"
750m²";"
5";"
9";"
5";;;2021-07-20
"
R$4.700.000
";Jardim Paulista, São Paulo;"
270m²";"
3";"
4";"
5";5.000;1.000;2021-07-20
"
R$230.000
";Rua Engenheira Amália Pérola Cassab, Parque Munhoz;"
50m²";"
2";"
1";"
1";333;2;2021-07-20
"
R$250.000
";Rua Jeceaba, Jardim Bartira;"
100m²";"
2";;"
1";;;2021-07-20
"
R$550.000
";Água Rasa, São Paulo;"
82m²";"
3";"
2";"
2";767;75;2021-07-20
"
R$378.896
";Rua Sebastopol, Jardim Marajoara;"
46m²";"
2";"
1";"
1";;;2021-07-20
"
R$360.000
";Mirandópolis, São Paulo;"
38m²";"
2";;"
1";406;;2021-07-20
"
R$485.000
";Rua Dom Constantino Barradas, Saúde;"
64m²";"
2";"
1";"
2";650;;2021-07-20
"
R$410.000
";Jardim Arize, São Paulo;"
63m²";"
3";"
1";"
2";349;;2021-07-20
"
R$577.000
";Chácara Santo Antônio, São Paulo;"
51m²";"
2";"
2";"
2";;;2021-07-20
"
R$780.000
";Avenida Chibarás, Moema;"
80m²";"
2";"
1";"
1";820;;2021-07-20
"
R$900.000
";Rua Doutor Nelson da Veiga, Vila Nova Mazzei;"
175m²";"
3";"
4";"
5";;360;2021-07-20
"
R$420.000
";Rua Henrique Sousa Queirós, Penha De Franca;"
82m²";"
3";"
1";"
2";303;;2021-07-20
"
R$490.000
";Rua dos Americanos, Barra Funda;"
57m²";"
2";"
1";"
2";480;;2021-07-20
"
R$850.000
";Vila do Bosque, São Paulo;"
165m²";"
4";"
4";"
5";;420;2021-07-20
"
R$202.127
";Avenida Nossa Senhora do Ó, Limão;"
35m²";;"
1";"
1";500;;2021-07-20
"
R$450.000
";Rua Serra da Bocaina, Quarta Parada;"
62m²";"
2";"
2";"
2";480;;2021-07-20
"
R$300.000
";Rua Pinheiro de Azurara, Parque São Rafael;"
92m²";"
2";"
2";"
1";;;2021-07-20
"
R$1.485.000
";Caxingui, São Paulo;;;;;;;2021-07-20
"
R$320.000
";Rua Itapé, Vila Santos;"
56m²";"
2";"
1";"
1";420;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$269.800
";Avenida Engenheiro Carlos Reinaldo Mendes, Alem Ponte;"
48m²";"
1";"
1";"
1";;;2021-07-20
"
R$330.000
";Rua Parapuã, Freguesia do Ó;"
52m²";"
2";"
1";"
2";;;2021-07-20
"
R$289.000
";Rua Walter de Paula Soares, Quitaúna;"
55m²";"
1-2";"
1-2";"
2";;;2021-07-20
"
R$897.000
";Rua Cardeal Arcoverde, Pinheiros;"
70m²";"
3";"
1";"
2";980;195;2021-07-20
"
R$549.000
";Rua Guaçuma, Vila California;"
238m²";"
4";"
3";"
4";;341;2021-07-20
"
R$799.000
";Avenida Conselheiro Rodrigues Alves, Vila Mariana;"
123m²";"
3";"
1";"
3";1.008;161;2021-07-20
"
R$220.000
";Rua Quipá, Jardim Umarizal;"
48m²";"
2";"
1";"
1";623;120;2021-07-20
"
R$198.000
";Vila Maria, São Paulo;"
50m²";"
2";"
1";"
1";3;;2021-07-20
"
R$375.000
";Rua Fortunato, Vila Buarque;"
30m²";"
1";;"
1";333;52;2021-07-20
"
R$260.000
";Rua Doutor Jaci Barbosa, Vila Carrão;"
50m²";"
2";"
1";"
1";390;55;2021-07-20
"
R$500.000
";Rua José Monteiro Filho, Jardim Monte Alegre Zona Norte;"
100m²";"
2";"
2";"
2";;;2021-07-20
"
R$670.000
";Rua Carvalho de Freitas, Vila Andrade;"
80m²";"
2";"
2";"
2";660;40;2021-07-20
"
R$552.000
";Rua Jesuíno Pascoal, Santa Cecília;"
55m²";"
2";;"
2";780;1;2021-07-20
"
R$391.000
";Rua Diógenes de Lima, Parque Peruche;"
51m²";"
2";"
1";"
1";;;2021-07-20
"
R$440.000
";Vila Siqueira, São Paulo;"
70m²";"
2";"
1";"
2";380;;2021-07-20
"
R$305.000
";Rua Barão de Santo Ângelo, Jardim;"
50m²";"
2";"
1";"
1";390;;2021-07-20
"
R$2.150.000
";Rua Vicente Romano, Móoca;"
205m²";"
4";"
3";"
5";2.500;846;2021-07-20
"
R$630.000
";Rua Antônio Alves Barril, Jardim Anália Franco;"
42m²";"
1";"
1";"
1";;;2021-07-20
"
R$960.000
";Avenida Nova Cantareira, Água Fria;"
148m²";"
3";"
3";"
5";1.730;516;2021-07-20
"
R$469.000
";Vila Monte Alegre, São Paulo;"
78m²";"
3";"
1";"
1";700;;2021-07-20
"
R$691.500
";Rua Padre Pascoal Rochedreux, Lauzane Paulista;"
600m²";"
5";"
2";"
3";;650;2021-07-20
"
R$850.000
";Rua Doutor Luiz Migliano, Morumbi;"
96m²";"
2";"
1";"
3";680;250;2021-07-20
"
R$695.000
";Rua Aroaba, Vila Leopoldina;"
68m²";"
2";"
1";"
3";780;110;2021-07-20
"
R$725.000
";Rua dos Americanos, Barra Funda;"
83m²";"
2";"
2";"
2";560;380;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$179.000
";Rua Parapuã, Itaberaba;"
34m²";"
2";;"
1";;;2021-07-20
"
Sobconsulta
";Rodovia Emerenciano Prestes de Barros, Caguacu;"
1000m²";;;;;;2021-07-20
"
R$680.000
";Rua Rubens de Souza Araújo, Vila Mangalot;"
56-113m²";"
2";;"
2";;;2021-07-20
"
R$2.350.000
";Vila Madalena, São Paulo;"
149m²";"
3";"
2";"
5";1.200;800;2021-07-20
"
R$175.000
";Avenida Amador Bueno da Veiga, Penha De Franca;"
34m²";;"
1";"
1";440;159;2021-07-20
"
R$237.000
";Avenida Antártica, Barra Funda;"
42m²";"
2";;"
1";270;50;2021-07-20
"
R$290.940
";Brás, São Paulo;"
45m²";"
2";"
1";"
1";380;;2021-07-20
"
R$1.190.000
";Rua Doutor Hélio Fidelis, Cidade São Francisco;"
220m²";"
3";"
3";"
4";1.400;286;2021-07-20
"
R$352.254
";Rua Melo Peixoto, Tatuapé;"
50m²";"
2";"
1";"
1";500;20;2021-07-20
"
R$340.426
";Rua Bugio Vermelho, Vila Nova York;"
67m²";"
2";"
2";"
3";;;2021-07-20
"
R$385.000
";Avenida Carioca, Vila Carioca;"
52m²";"
2";"
1";"
1";500;23;2021-07-20
"
R$154.000
";Rua Januário Zingaro, Jardim Paris;"
42m²";"
1";;"
1";;;2021-07-20
"
R$445.000
";Vila das Mercês, São Paulo;"
69m²";"
3";;"
2";430;230;2021-07-20
"
R$530.000
";Morumbi, São Paulo;"
96m²";"
3";"
1";"
1";760;;2021-07-20
"
R$830.000
";Rua Madre de Deus, Móoca;"
120m²";"
3";"
2";"
2";1.200;285;2021-07-20
"
R$430.000
";Rua Capistrano de Abreu, Barra Funda;"
50m²";"
2";"
1";"
1";600;108;2021-07-20
"
R$418.000
";Rua Francisco Duarte Graça, Cidade Vargas;"
68m²";"
3";"
1";"
2";600;35;2021-07-20
"
R$990.000
";Água Rasa, São Paulo;"
450m²";"
3";"
4";"
4";;700;2021-07-20
"
R$577.317
";Avenida Moaci, Moema;"
42m²";;;"
1";;;2021-07-20
"
R$890.000
";Rua Professor João Batista de Castro, Brooklin;"
158m²";"
3";"
3";"
3";;316;2021-07-20
"
R$670.000
";Rua Almeria, Vila Granada;"
170m²";"
3";"
3";"
3";;120;2021-07-20
"
R$632.611
";Rua Cônego Vicente Miguel Marino, Barra Funda;"
58m²";"
2";"
1";"
2";522;;2021-07-20
"
R$190.000
";Rua Barão de Tatuí, Higienópolis;"
33m²";;;"
1";327;;2021-07-20
"
R$630.000
";Rua Ribeiro do Amaral, Ipiranga;"
70m²";"
3";"
2";"
2";630;114;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$380.000
";Rua José Elói Otoni, Freguesia do Ó;"
57-66m²";"
2-3";"
1";"
1";;;2021-07-20
"
R$229.900
";Alameda Itanhaém, Jardim Saira;"
61m²";"
2";"
1";"
2";;;2021-07-20
"
R$229.900
";Alameda Itanhaém, Jardim Saira;"
61m²";"
2";"
1";"
2";;;2021-07-20
"
R$613.900
";Rua Padre Estevão Pernet, Tatuapé;"
65m²";"
2";"
1";"
2";700;180;2021-07-20
"
R$7.200.000
";Rua Joinville, Paraíso;"
310m²";"
4";"
4";"
6";;1.860;2021-07-20
"
R$9.250.000
";Rua Lourenço de Almeida, Vila Nova Conceição;"
307m²";"
3";"
4";"
6";7.300;1.842;2021-07-20
"
R$658.000
";Rua Vergueiro, Vila Mariana;"
53m²";"
2";"
1";"
1";516;82;2021-07-20
"
R$1.044.000
";Rua Harmonia, Vila Madalena;"
62m²";"
2";"
1";"
2";900;;2021-07-20
"
R$380.000
";Rua Rafael Peixe, Jardim Itapura;"
101m²";"
3";"
3";"
1";;;2021-07-20
"
R$550.000
";Rua Dom Constantino Barradas, Bosque da Saúde;"
68m²";"
3";"
2";"
2";638;122;2021-07-20
"
R$320.000
";Vila Diva, São Paulo;"
132m²";"
2";"
1";"
1";;;2021-07-20
"
R$960.000
";Jardim França, São Paulo;"
160m²";"
4";"
4";"
5";;240;2021-07-20
"
R$165.000
";Vila Nova Curuca, São Paulo;"
48m²";"
2";"
1";"
1";204;;2021-07-20
"
R$230.000
";Rua Engenheira Amália Pérola Cassab, Parque Munhoz;"
50m²";"
2";"
1";"
1";333;2;2021-07-20
"
R$550.000
";Rua Doutor Augusto de Miranda, Pompeia;"
47m²";"
2";"
1";"
2";450;40;2021-07-20
"
R$299.000
";Rua André de Leão, Vila Socorro;"
54m²";"
2";"
1";"
1";390;12;2021-07-20
"
R$700.000
";Barra Funda, São Paulo;"
88m²";"
2";"
1";"
3";656;;2021-07-20
"
R$1.820.000
";Rua Pedro Doll, Santana;"
230m²";"
4";"
4";"
5";1.200;;2021-07-20
"
R$370.000
";Vila Santo Estéfano, São Paulo;"
74m²";"
3";"
1";"
2";730;123;2021-07-20
"
R$520.000
";Rua Lucrécia Maciel, Jabaquara;"
50m²";"
2";"
1";"
1";497;100;2021-07-20
"
R$393.000
";Rua Mianos, Vila Mira;"
141m²";"
2";"
2";"
2";;100;2021-07-20
"
R$231.070
";Avenida Antártica, Barra Funda;"
34m²";"
2";;"
1";;;2021-07-20
"
R$630.000
";Santa Teresinha, São Paulo;"
115m²";"
3";"
3";"
3";560;1.710;2021-07-20
"
R$216.000
";Rua Farid Miguel Haddad, Jardim Santa Emília;"
46m²";"
2";"
1";"
1";298;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$299.900
";Avenida Raimundo Pereira de Magalhães, Jardim Íris;"
52m²";"
2";"
1";"
2";;;2021-07-20
"
R$185.000
";Rua Itambu, Vila Santos;"
42-43m²";"
2";;"
1";;;2021-07-20
"
R$233.000
";Avenida Elísio Teixeira Leite, Freguesia do Ó;"
38m²";"
2";"
1";"
1";;;2021-07-20
"
R$1.200.000
";Rua Toninhas, Campo Grande;"
180m²";"
4";"
4";"
5";;217;2021-07-20
"
R$920.000
";Rua Espírito Santo, Aclimação;"
104m²";"
3";"
2";"
3";1.340;440;2021-07-20
"
R$1.650.000
";Bela Vista, São Paulo;"
200m²";"
3";"
2";"
3";1.550;;2021-07-20
"
R$750.000
";Pirituba, São Paulo;"
180m²";"
3";"
3";"
3";;;2021-07-20
"
R$192.900
";Rua Constantino Palumbo, Jardim Jaraguá;"
45m²";"
2";"
1";"
1";;;2021-07-20
"
R$750.000
";Rua República dos Palmares, Jardim Cidade Pirituba;"
150m²";"
3";"
2";"
2";;;2021-07-20
"
R$850.000
";Vila Dionísia, São Paulo;"
480m²";"
3";"
5";"
3";;;2021-07-20
"
R$485.000
";Rua Caetanópolis, Jaguaré;"
85m²";"
3";"
2";"
3";490;320;2021-07-20
"
R$453.004
";Santo Amaro, São Paulo;"
45m²";"
2";"
1";"
1";;;2021-07-20
"
R$589.000
";Rua Cayowaá, Sumaré;"
52m²";"
1";"
1";"
1";590;;2021-07-20
"
R$589.000
";Rua Cayowaá, Sumaré;"
52m²";"
1";"
1";"
1";590;;2021-07-20
"
R$371.000
";Rua Antônio Domingues Freitas, Vila Amélia;"
59m²";"
2";"
2";"
1";500;;2021-07-20
"
R$400.000
";Jardim Satélite, São Paulo;"
170m²";"
2";"
2";"
2";;;2021-07-20
"
R$243.256
";Avenida Gabriela Mistral, Jardim América da Penha;"
40m²";"
2";"
1";"
1";;;2021-07-20
"
R$295.000
";Rua Doutor Albuquerque Lins, Higienópolis;"
40m²";;"
1";"
1";491;;2021-07-20
"
R$215.000
";Vila União, São Paulo;"
70m²";"
2";"
1";"
1";;;2021-07-20
"
R$790.000
";Rua São Daniel, Vila Brasílio Machado;"
110m²";"
3";"
3";"
3";72;132;2021-07-20
"
R$325.000
";Cambuci, São Paulo;"
70m²";"
2";"
1";"
2";610;;2021-07-20
"
R$265.000
";Rua Desembargador Manoel Carlos da Costa Leite, Conjunto Residencial Vista Verde;"
50m²";"
2";"
2";"
1";455;;2021-07-20
"
R$340.426
";Rua Bugio Vermelho, Vila Nova York;"
67m²";"
2";"
2";"
3";;;2021-07-20
"
R$749.000
";Rua Pantojo, Água Rasa;"
82m²";"
2";"
2";"
2";620;180;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Avenida Hildebrando de Lima, Km 18;"
50m²";"
1-2";"
1";"
1";;;2021-07-20
"
R$234.900
";Avenida Raimundo Pereira de Magalhães, Jardim Íris;"
36-43m²";"
1-2";"
1";"
1";;;2021-07-20
"
R$234.944
";Avenida Aparecida do Rio Negro, Pirituba;"
36-43m²";"
1-2";;"
1";;;2021-07-20
"
R$2.250.000
";Rua Flórida, Brooklin;"
143m²";"
3";"
2";"
5";1.900;625;2021-07-20
"
R$4.350.000
";Rua Oagy Kalile, Panamby;"
600m²";"
4";"
6";"
4";;;2021-07-20
"
R$1.174.442
";Rua Girassol, Vila Madalena;"
70m²";"
2";"
1";"
2";660;;2021-07-20
"
R$550.000
";Rua Dom Constantino Barradas, Bosque da Saúde;"
68m²";"
3";"
2";"
2";638;122;2021-07-20
"
R$960.000
";Jardim França, São Paulo;"
160m²";"
4";"
4";"
5";;240;2021-07-20
"
R$165.000
";Vila Nova Curuca, São Paulo;"
48m²";"
2";"
1";"
1";204;;2021-07-20
"
R$230.000
";Rua Engenheira Amália Pérola Cassab, Parque Munhoz;"
50m²";"
2";"
1";"
1";333;2;2021-07-20
"
R$550.000
";Rua Doutor Augusto de Miranda, Pompeia;"
47m²";"
2";"
1";"
2";450;40;2021-07-20
"
R$299.000
";Rua André de Leão, Vila Socorro;"
54m²";"
2";"
1";"
1";390;12;2021-07-20
"
R$338.000
";Vila Mariana, São Paulo;"
49m²";"
1";;"
1";450;;2021-07-20
"
R$700.000
";Barra Funda, São Paulo;"
88m²";"
2";"
1";"
3";656;;2021-07-20
"
R$130.000
";Guaianases, São Paulo;"
48m²";"
2";"
1";"
1";;;2021-07-20
"
R$208.000
";Avenida Maria Santana, Jardim Casa Pintada;"
42m²";"
2";"
1";"
1";;;2021-07-20
"
R$7.990.000
";Vila Mariana, São Paulo;"
455m²";"
4";"
6";"
6";5.350;2.650;2021-07-20
"
R$672.939
";Rua Carlos Gomes, Santo Amaro;"
66m²";"
2";"
1";"
2";551;198;2021-07-20
"
R$250.000
";Avenida Parada Pinto, Vila Nova Cachoeirinha;"
49m²";"
2";"
1";"
1";490;230;2021-07-20
"
R$702.000
";Rua Agostinho Gomes, Ipiranga;"
68m²";"
2";"
2";"
2";540;45;2021-07-20
"
R$399.000
";Rua Aricá-Mirim, Vila Ré;"
69m²";"
2";"
1";"
3";;;2021-07-20
"
R$695.000
";Morumbi, São Paulo;"
175m²";"
3";"
3";"
3";;;2021-07-20
"
R$335.500
";Vila Mangalot, São Paulo;"
55m²";"
2";"
1";"
1";644;108;2021-07-20
"
R$424.000
";Lauzane Paulista, São Paulo;"
63m²";"
3";"
1";"
2";670;28;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Rua Júlio Silva, Centro;"
77m²";"
2-3";"
1-2";"
1-3";;;2021-07-20
"
Sobconsulta
";Rua José Timótheo da Silva, São Pedro;"
51-55m²";"
2";"
1";"
1-2";;;2021-07-20
"
R$219.900
";Rua José Timótheo da Silva, São Pedro;"
51-55m²";"
2";"
1";"
1";;;2021-07-20
"
R$6.500.000
";Rua Inajaroba, Vila Nova Conceição;"
245m²";"
4";"
4";"
6";4.300;980;2021-07-20
"
R$680.000
";Avenida Cotovia, Moema;"
63m²";"
2";;"
2";1.250;334;2021-07-20
"
R$849.000
";Rua Barão do Bananal, Pompeia;"
76m²";"
2";"
2";"
3";845;290;2021-07-20
"
R$750.000
";Rua João Rudge, Casa Verde;"
78m²";"
3";"
2";"
2";550;97;2021-07-20
"
R$385.000
";Rua Márcio Mazzei, Vila Nova Mazzei;"
62m²";"
2";"
1";"
1";580;23;2021-07-20
"
R$370.000
";Penha, São Paulo;"
57m²";"
2";"
1";"
1";550;;2021-07-20
"
R$800.000
";Tatuapé, São Paulo;"
170m²";"
3";"
3";"
4";;360;2021-07-20
"
R$190.900
";Rua Domingos Lopes da Silva, Vila Suzana;"
36m²";"
1";;"
1";;;2021-07-20
"
R$259.200
";Rua João Zeltner, Parque Maria Helena;"
42m²";"
2";"
1";"
1";250;;2021-07-20
"
R$478.000
";Rua Adolfo Reile, Jardim Celeste;"
74m²";"
2";"
1";"
1";550;150;2021-07-20
"
R$300.000
";Rua Vilela, Tatuapé;"
29m²";;;;550;400;2021-07-20
"
R$380.000
";Rua Abolição, Bela Vista;"
180m²";"
1";;"
1";600;;2021-07-20
"
R$400.000
";Rua Salomé Queiroga, Vila Carrão;"
66m²";"
2";"
2";"
2";510;1;2021-07-20
"
R$820.000
";Rua Manuel de Almeida, Vila Guilherme;"
127m²";"
3";"
2";"
2";1.130;350;2021-07-20
"
R$198.500
";Lajeado, São Paulo;"
50m²";"
2";"
1";"
1";;;2021-07-20
"
R$145.000
";Jd Robru, São Paulo;"
48m²";"
2";"
1";"
1";368;54;2021-07-20
"
R$426.000
";Rua José de Alcântara, Vila do Encontro;"
75m²";"
3";"
1";"
2";550;127;2021-07-20
"
R$189.999
";Avenida das Alamandas, Cidade A E Carvalho;"
66m²";"
3";"
1";"
2";170;;2021-07-20
"
R$580.000
";Tatuapé, São Paulo;"
82m²";"
3";"
1";"
2";670;281;2021-07-20
"
R$220.000
";Avenida Hebe Camargo, Jardim Parque Morumbi;"
40m²";"
2";;"
1";250;99;2021-07-20
"
R$460.000
";Rua Doutor Luiz Migliano, Morumbi;"
76m²";"
3";"
1";"
1";850;400;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Avenida dos Remédios, Remédios;"
40-43m²";"
2";"
0-1";"
1";;;2021-07-20
"
R$142.995
";Rua Abrahão Pinsky, Horto Florestal;"
40m²";"
2";"
1";"
1";;;2021-07-20
"
R$151.900
";Rua Seraphim Banietti, Caguacu;"
43m²";"
2";"
0-1";"
1";;;2021-07-20
"
R$690.000
";Rua Tuim, Moema;"
45m²";"
1";"
1";"
1";1.460;165;2021-07-20
"
R$6.900.000
";Rua Pirapora, Vila Mariana;"
325m²";"
4";"
5";"
2";;;2021-07-20
"
R$6.500.000
";Rua Inajaroba, Vila Nova Conceição;"
245m²";"
4";"
4";"
6";4.300;980;2021-07-20
"
R$370.000
";Vila Santo Estéfano, São Paulo;"
74m²";"
3";"
1";"
2";730;123;2021-07-20
"
R$520.000
";Rua Lucrécia Maciel, Jabaquara;"
50m²";"
2";"
1";"
1";497;100;2021-07-20
"
R$393.000
";Rua Mianos, Vila Mira;"
141m²";"
2";"
2";"
2";;100;2021-07-20
"
R$231.070
";Avenida Antártica, Barra Funda;"
34m²";"
2";;"
1";;;2021-07-20
"
R$630.000
";Santa Teresinha, São Paulo;"
115m²";"
3";"
3";"
3";560;1.710;2021-07-20
"
R$216.000
";Rua Farid Miguel Haddad, Jardim Santa Emília;"
46m²";"
2";"
1";"
1";298;;2021-07-20
"
R$450.000
";Jaguaré, São Paulo;"
68m²";"
3";"
2";"
2";703;;2021-07-20
"
R$389.000
";Rua Doutor Luiz Migliano, Jardim Caboré;"
64m²";"
3";"
1";"
2";450;180;2021-07-20
"
R$450.000
";Vila Tolstoi, São Paulo;"
144m²";"
3";"
2";"
2";;;2021-07-20
"
R$672.939
";Rua Carlos Gomes, Santo Amaro;"
66m²";"
2";"
1";"
2";551;198;2021-07-20
"
R$552.000
";Vila Andrade, São Paulo;"
77m²";"
3";"
2";"
1";800;;2021-07-20
"
R$479.900
";Vila Zelina, São Paulo;"
110m²";"
2";"
2";"
1";280;;2021-07-20
"
R$350.000
";Ipiranga, São Paulo;"
65m²";"
2";"
1";"
1";494;;2021-07-20
"
R$253.341
";Avenida Tiradentes, Bom Retiro;"
61m²";;;"
1";;;2021-07-20
"
R$360.000
";Rua Caio Prado, Consolação;"
33m²";"
1";"
1";"
1";500;125;2021-07-20
"
R$637.000
";Rua Itajaí, Móoca;"
76m²";"
3";"
2";"
2";960;1.700;2021-07-20
